fund_id,fund_nm,qtype,issuer_nm,urls,asset_ratio,lof_type,t0,eval_show,price,pre_close,price_dt,increase_rt,volume,stock_volume,last_time,amount,amount_incr,amount_increase_rt,fund_nav,nav_dt,estimate_value,discount_rt,last_est_dt,last_est_time,ref_increase_rt,est_val_dt,est_val_increase_rt,index_id,index_nm,apply_fee,apply_status,apply_fee_tips,redeem_fee,redeem_status,redeem_fee_tips,m_fee,t_fee,min_amt,money_cd,notes,estimate_value2,discount_rt2,est_val_dt2,est_val_increase_rt2,ref_price,ref_increase_rt2,cal_tips,owned,holded,mt_fee,mt_fee_tips,cal_index_id,est_val_tm2,ref_price2,apply_redeem_status,amount_incr_tips,turnover_rt,last_est_datetime,fund_nm_color,est_val_dt_s,nav_dt_s
513650,标普500ETF基金,E,南方基金,https://www.nffund.com/main/nffund/personal-financing/detail.shtml?fundCode=513650,100.000,QDII,Y,Y,1.810,1.8130,2025-12-30,-0.17%,7758.98,4293.7200,14:59:59,269673,200,0.07,1.7556,2025-12-26,1.7488,,2025-12-30,14:59:59,-0.35%,2025-12-29,-0.39%,Y,标普500,-,开放申购,-,-,开放赎回,-,0.60,0.15,,USD,,buy,buy,buy,buy,6905.74,buy,指数从 2025-12-26 6929.94  到 2025-12-29 6905.74；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.75,"管理费：0.60%
托管费：0.15%",SPX.GI,buy,buy,-,最新份额：269673万份；增长：0.07%,1.59%,2025-12-30 14:59:59,标普500ETF基金,25-12-29,25-12-26
159655,标普ETF,E,华夏基金,https://www.chinaamc.com/fund/159655/index.shtml,100.000,QDII,Y,Y,1.819,1.8220,2025-12-30,-0.16%,6670.12,3682.0163,15:14:06,201014,100,0.05,1.7653,2025-12-26,1.7584,,2025-12-30,15:14:06,-0.35%,2025-12-29,-0.39%,Y,标普500,0.50%,开放申购,最高不超过0.5%,0.50%,开放赎回,最高不超过0.5%,0.60,0.15,,USD,,buy,buy,buy,buy,6905.74,buy,指数从 2025-12-26 6929.94  到 2025-12-29 6905.74；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.75,"管理费：0.60%
托管费：0.15%",SPX.GI,buy,buy,-,最新份额：201014万份；增长：0.05%,1.83%,2025-12-30 15:14:06,标普ETF,25-12-29,25-12-26
159659,纳斯达克100ETF,E,招商基金,https://www.cmfchina.com/web/fundDetail/159659/index.html,100.000,QDII,Y,Y,1.998,1.9980,2025-12-30,0.00%,49168.25,24786.4500,15:14:06,402874,6000,1.51,1.9422,2025-12-26,1.9325,,2025-12-30,15:14:06,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,开放申购,-,-,开放赎回,-,0.50,0.15,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.65,"管理费：0.50%
托管费：0.15%",NDX.GI,buy,buy,-,最新份额：402874万份；增长：1.51%,6.15%,2025-12-30 15:14:06,纳斯达克100ETF,25-12-29,25-12-26
513880,日经225ETF,A,华安基金,http://www.huaan.com.cn/funds/513880/index.shtml,100.000,INDEX,Y,Y,1.685,1.6940,2025-12-30,-0.53%,4436.87,2638.0020,14:59:56,121997,50,0.04,1.6406,2025-12-29,1.6395,,2025-12-30,14:59:56,-0.37%,2025-12-30,-0.07%,Y,日经225,0.50%,开放申购,"小于50万元，0.50%  
大于等于50万元，小于100万元，0.30%  
大于等于100万元，每笔1000元",0.50%,开放赎回,不超过0.5%,0.20,0.05,,JPY,,-,-,-,-,50339.48,-,,0,0,0.25,"管理费：0.20%
托管费：0.05%",,-,-,-,最新份额：121997万份；增长：0.04%,2.16%,2025-12-30 14:59:56,日经225ETF,25-12-30,25-12-29
513310,中韩半导体ETF,A,华泰柏瑞,https://www.huatai-pb.com/products/zhishu/513310/index.html,100.000,INDEX,Y,Y,2.613,2.5910,2025-12-30,0.85%,246995.62,94498.8646,15:00:00,144143,500,0.35,2.5327,2025-12-29,2.5469,,2025-12-30,15:00:00,0.56%,2025-12-30,0.56%,Y,中韩半导体,0.50%,开放申购,最高不超过0.5%,0.50%,开放赎回,最高不超过0.5%,0.80,0.15,,RMB,,-,-,-,-,5806.37,-,,0,0,0.95,"管理费：0.80%
托管费：0.15%",,-,-,-,最新份额：144143万份；增长：0.35%,65.56%,2025-12-30 15:00:00,中韩半导体ETF,25-12-30,25-12-29
513520,日经ETF,A,华夏基金,http://www.chinaamc.com/fund/513520/index.shtml,100.000,INDEX,Y,Y,1.800,1.8040,2025-12-30,-0.22%,4659.61,2592.0092,14:59:56,99989,50,0.05,1.7592,2025-12-29,1.7580,,2025-12-30,14:59:56,-0.37%,2025-12-30,-0.07%,Y,日经225,0.50%,开放申购,不超过0.50%,0.50%,开放赎回,不超过0.50%,0.20,0.05,,JPY,,-,-,-,-,50339.48,-,,0,0,0.25,"管理费：0.20%
托管费：0.05%",,-,-,-,最新份额：99989万份；增长：0.05%,2.59%,2025-12-30 14:59:56,日经ETF,25-12-30,25-12-29
159866,日经ETF,A,工银瑞信,https://www.icbccs.com.cn/jj/jjxq/159866.html,100.000,INDEX,Y,Y,1.347,1.3470,2025-12-30,0.00%,4641.87,3455.7200,15:14:39,66648,50,0.08,1.3168,2025-12-29,1.3159,,2025-12-30,15:14:39,-0.37%,2025-12-30,-0.07%,Y,日经225,0.50%,开放申购,不超过0.5%,0.50%,开放赎回,不超过0.5%,0.20,0.05,,JPY,,-,-,-,-,50339.48,-,,0,0,0.25,"管理费：0.20%
托管费：0.05%",,-,-,-,最新份额：66648万份；增长：0.08%,5.19%,2025-12-30 15:14:39,日经ETF,25-12-30,25-12-29
513000,日经225ETF易方达,A,易方达,https://www.efunds.com.cn/fund/513000.shtml,100.000,INDEX,Y,Y,1.803,1.8040,2025-12-30,-0.06%,3092.82,1716.9008,14:59:50,92541,100,0.11,1.7643,2025-12-29,1.7631,,2025-12-30,14:59:50,-0.37%,2025-12-30,-0.07%,Y,日经225,0.50%,开放申购,代理券商可按照不超过0.5%的标准收取佣金,0.50%,开放赎回,代理券商可按照不超过0.5%的标准收取佣金,0.20,0.05,,JPY,,-,-,-,-,50339.48,-,,0,0,0.25,"管理费：0.20%
托管费：0.05%",,-,-,-,最新份额：92541万份；增长：0.11%,1.86%,2025-12-30 14:59:50,日经225ETF易方达,25-12-30,25-12-29
161130,纳斯达克100LOF,E,易方达,https://www.efunds.com.cn/fund/161130.shtml,95.000,QDII,Y,Y,4.064,4.0710,2025-12-30,-0.17%,1177.84,291.2092,15:14:21,14134,5,0.04,4.0172,2025-12-26,3.9981,,2025-12-30,15:14:21,-0.46%,2025-12-29,-0.48%,Y,纳斯达克100,1.20%,限10,"M＜100万	1.20%
100万≤M＜200万	0.80%
200万≤M＜500万	0.50%
M≥500万	按笔收取，1000.00元/笔",1.50%,开放赎回,"0-6	1.50%
7及以上	0.50%",0.50,0.10,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.60,"管理费：0.50%
托管费：0.10%",NDX.GI,buy,buy,-,最新份额：14134万份；增长：0.04%,2.06%,2025-12-30 15:14:21,纳斯达克100LOF,25-12-29,25-12-26
161125,标普500LOF,E,易方达,https://www.efunds.com.cn/fund/161125.shtml,95.000,QDII,Y,Y,2.990,2.9970,2025-12-30,-0.23%,587.61,196.9552,15:14:48,22046,6,0.03,2.9547,2025-12-26,2.9438,,2025-12-30,15:14:48,-0.35%,2025-12-29,-0.37%,Y,标普500,1.20%,限10,"M＜100万	1.20%
100万≤M＜200万	0.80%
200万≤M＜500万	0.50%
M≥500万	按笔收取，1000.00元/笔",1.50%,开放赎回,"0-6日	1.50%
7日及以上	0.50%",0.80,0.20,,USD,,buy,buy,buy,buy,6905.74,buy,指数从 2025-12-26 6929.94  到 2025-12-29 6905.74；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,1.00,"管理费：0.80%
托管费：0.20%",SPX.GI,buy,buy,-,最新份额：22046万份；增长：0.03%,0.89%,2025-12-30 15:14:48,标普500LOF,25-12-29,25-12-26
