日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2021-11-22,卖出,4895.39,-3,14710.01,12.43,40.87%,0.60,0.73
2021-11-29,买入,4820.01,3,14460.03,12.28,38.25%,0.80,0.72
2021-12-06,卖出,4909.43,-3,14668.35,12.43,43.02%,0.60,0.74
2021-12-10,卖出,5046.27,-1,4889.45,12.78,53.33%,0.60,0.25
2021-12-14,卖出,5066.35,-4,19557.80,13.62,68.73%,0.40,1.01
2022-01-07,买入,4824.32,4,19297.28,13.16,59.44%,0.60,0.96
2022-01-10,卖出,4812.23,-4,19483.36,13.21,60.32%,0.40,0.96
2022-01-12,买入,4818.89,4,19275.56,13.19,58.97%,0.60,0.96
2022-01-13,卖出,4853.03,-4,19423.99,13.02,60.56%,0.40,0.97
2022-01-14,买入,4743.91,4,18975.64,12.88,57.14%,0.60,0.95
2022-03-07,买入,4462.52,5,22312.60,12.06,38.25%,0.80,1.12
2022-03-08,买入,4361.64,1,4361.64,11.83,29.52%,0.80,0.22
2022-03-15,买入,4125.49,2,8250.98,10.98,14.84%,0.90,0.41
2022-03-16,买入,4053.10,3,12159.30,11.38,7.94%,1.00,0.61
2022-03-17,卖出,4237.67,-2,9169.61,11.56,12.54%,0.90,0.42
2022-03-21,卖出,4280.14,-2,9169.61,11.69,21.11%,0.80,0.43
2022-03-28,买入,4128.84,1,4128.84,11.52,15.95%,0.90,0.21
2022-03-31,卖出,4234.72,-1,4564.08,11.72,21.98%,0.80,0.21
2022-04-12,买入,4102.97,1,4102.97,11.63,13.49%,0.90,0.21
2022-04-15,卖出,4162.37,-1,4543.12,11.66,20.63%,0.80,0.21
2022-04-19,买入,4161.93,1,4161.93,11.51,16.90%,0.90,0.21
2022-04-21,买入,4048.73,1,4048.73,11.18,12.30%,0.90,0.20
2022-04-26,买入,3822.49,2,7644.98,10.67,5.71%,1.00,0.38
2022-05-05,卖出,3995.35,-1,4450.45,11.11,11.11%,0.90,0.20
2022-05-06,买入,3928.85,1,3928.85,10.85,9.76%,1.00,0.20
2022-05-23,卖出,4080.97,-1,4429.58,11.20,12.70%,0.90,0.20
2022-05-25,买入,3959.77,1,3959.77,11.06,8.81%,1.00,0.20
2022-05-27,卖出,4022.71,-1,4410.79,11.12,10.32%,0.90,0.20
2022-06-09,卖出,4211.72,-3,13232.37,11.53,21.43%,0.80,0.63
2022-06-10,买入,4145.65,2,8291.30,11.70,18.65%,0.90,0.41
2022-06-13,卖出,4194.46,-2,8775.47,11.70,24.13%,0.80,0.42
2022-06-29,卖出,4472.73,-5,21938.67,12.18,42.22%,0.60,1.12
2022-06-30,买入,4418.07,4,17672.28,12.31,39.21%,0.80,0.88
2022-07-01,卖出,4489.52,-4,17575.21,12.26,42.14%,0.60,0.90
2022-07-07,买入,4425.28,4,17701.12,12.18,38.33%,0.80,0.89
2022-08-01,买入,4160.65,3,12481.95,11.48,15.71%,0.90,0.62
2022-09-01,买入,4066.19,2,8132.38,10.95,9.13%,1.00,0.41
2022-09-02,买入,4054.84,1,4054.84,10.89,8.25%,1.00,0.20
2022-09-13,卖出,4112.01,-2,8667.01,11.13,11.11%,0.90,0.41
2022-09-15,买入,4078.65,2,8157.30,10.95,9.60%,1.00,0.41
2022-12-06,卖出,3929.01,-2,8627.80,10.86,10.48%,0.90,0.39
2022-12-20,买入,3881.23,2,7762.46,10.48,7.94%,1.00,0.39
2023-01-06,卖出,3969.55,-2,8561.24,10.89,12.78%,0.90,0.40
2023-01-17,卖出,4138.84,-3,12841.85,11.20,20.24%,0.80,0.62
2023-01-18,买入,4140.10,2,8280.20,11.20,19.76%,0.90,0.41
2023-01-20,卖出,4166.84,-2,8536.80,11.33,20.79%,0.80,0.42
2023-02-07,买入,4098.31,2,8196.62,11.13,18.41%,0.90,0.41
2023-02-10,卖出,4124.10,-2,8507.22,11.17,20.56%,0.80,0.41
2023-02-13,买入,4098.88,2,8197.76,11.24,19.29%,0.90,0.41
2023-02-14,卖出,4151.25,-2,8480.31,11.26,21.03%,0.80,0.42
2023-02-17,买入,4086.22,2,8172.44,11.03,19.21%,0.90,0.41
2023-02-21,卖出,4130.06,-2,8453.54,11.34,22.86%,0.80,0.41
2023-02-27,买入,4040.46,2,8080.92,11.09,18.57%,0.90,0.40
2023-03-02,卖出,4119.99,-2,8421.14,11.33,23.81%,0.80,0.41
2023-03-13,买入,3962.64,2,7925.28,11.20,16.19%,0.90,0.40
2023-03-14,卖出,3999.88,-1,4189.01,11.12,20.56%,0.80,0.20
2023-03-15,买入,4011.84,1,4011.84,11.16,18.73%,0.90,0.20
2023-03-20,卖出,3962.66,-1,4181.31,11.10,20.24%,0.80,0.20
2023-03-21,买入,3948.16,1,3948.16,11.17,17.86%,0.90,0.20
2023-03-23,卖出,3985.99,-1,4171.17,11.34,22.06%,0.80,0.20
2023-03-24,卖出,4035.16,-1,4171.17,11.27,24.84%,0.80,0.20
2023-04-18,卖出,4139.31,-5,20855.84,11.89,41.19%,0.60,1.03
2023-04-24,买入,4031.30,5,20156.50,11.48,33.17%,0.80,1.01
2023-05-09,卖出,4065.44,-5,20689.33,11.67,42.78%,0.60,1.02
2023-05-10,买入,4017.94,5,20089.70,11.50,38.17%,0.80,1.00
2023-05-25,买入,3851.41,3,11554.23,10.97,15.95%,0.90,0.58
2023-06-12,卖出,3827.33,-2,8154.15,11.10,20.63%,0.80,0.38
2023-06-13,买入,3838.13,2,7676.26,11.12,18.81%,0.90,0.38
2023-06-16,卖出,3932.21,-2,8114.33,11.29,23.41%,0.80,0.39
2023-06-26,买入,3833.44,2,7666.88,10.86,16.27%,0.90,0.38
2023-07-04,卖出,3888.03,-2,8077.04,11.13,20.95%,0.80,0.39
2023-07-06,买入,3857.03,2,7714.06,10.97,17.62%,0.90,0.39
2023-07-14,卖出,3904.60,-2,8046.79,11.12,20.95%,0.80,0.39
2023-07-18,买入,3871.04,2,7742.08,10.94,16.51%,0.90,0.39
2023-07-26,卖出,3908.17,-2,8021.40,11.07,20.95%,0.80,0.39
2023-07-27,买入,3914.23,2,7828.46,11.07,19.29%,0.90,0.39
2023-07-31,卖出,4018.89,-2,8005.32,11.36,28.89%,0.80,0.40
2023-08-14,买入,3840.89,2,7681.78,10.94,17.78%,0.90,0.38
2023-08-22,买入,3748.07,2,7496.14,10.75,8.33%,1.00,0.37
2023-08-23,卖出,3751.77,-1,3970.63,10.62,10.87%,0.90,0.19
2023-08-24,买入,3711.54,1,3711.54,10.66,8.33%,1.00,0.19
2023-08-29,卖出,3743.05,-1,3960.67,10.87,13.25%,0.90,0.19
2023-09-04,卖出,3812.99,-3,11882.00,11.22,20.16%,0.80,0.57
2023-09-08,买入,3747.65,2,7495.30,10.96,18.57%,0.90,0.37
2023-10-20,买入,3518.35,3,10555.05,10.50,7.54%,1.00,0.53
2023-11-02,卖出,3580.07,-2,7791.48,10.63,10.24%,0.90,0.36
2023-11-03,买入,3558.53,2,7117.06,10.69,9.37%,1.00,0.36
2023-11-06,卖出,3608.32,-2,7741.53,10.75,11.11%,0.90,0.36
2023-11-20,买入,3569.73,2,7139.46,10.64,8.97%,1.00,0.36
2023-11-22,卖出,3569.44,-2,7696.93,10.58,10.63%,0.90,0.36
2023-11-23,买入,3541.44,2,7082.88,10.62,7.86%,1.00,0.35
2024-02-20,卖出,3395.19,-2,7651.44,10.73,14.13%,0.90,0.34
2024-02-23,卖出,3491.34,-3,11477.17,10.96,20.16%,0.80,0.52
2024-02-27,买入,3440.05,2,6880.10,10.90,15.08%,0.90,0.34
2024-03-05,卖出,3524.96,-2,7587.16,11.10,22.54%,0.80,0.35
2024-05-06,卖出,3654.05,-5,18967.91,11.72,44.37%,0.60,0.91
2024-06-12,买入,3539.09,4,14156.36,11.50,38.41%,0.80,0.71
2024-06-17,卖出,3521.44,-4,14980.43,11.46,40.08%,0.60,0.70
2024-06-18,买入,3533.49,4,14133.96,11.51,37.46%,0.80,0.71
2024-06-19,卖出,3543.36,-4,14819.20,11.51,40.16%,0.60,0.71
2024-06-21,买入,3496.34,4,13985.36,11.46,38.49%,0.80,0.70
2024-06-26,买入,3451.54,1,3451.54,11.43,35.48%,0.80,0.17
2024-07-02,卖出,3472.45,-5,18276.93,11.62,43.10%,0.60,0.87
2024-07-08,买入,3420.80,5,17104.00,11.43,37.78%,0.80,0.86
2024-07-10,卖出,3425.88,-5,18010.36,11.47,41.98%,0.60,0.86
2024-07-11,买入,3451.04,5,17255.20,11.54,38.33%,0.80,0.86
2024-07-12,卖出,3459.96,-5,17838.73,11.55,42.46%,0.60,0.86
2024-07-24,买入,3432.35,5,17161.75,11.41,36.59%,0.80,0.86
2024-08-30,买入,3273.75,3,9821.25,10.86,15.56%,0.90,0.49
2024-09-05,买入,3252.96,2,6505.92,10.58,9.13%,1.00,0.33
2024-09-25,卖出,3403.70,-1,3486.69,11.11,19.92%,0.90,0.17
2024-09-26,卖出,3399.32,-3,10460.07,11.48,27.30%,0.80,0.51
2024-09-27,卖出,3617.92,-6,20920.13,11.77,41.90%,0.60,1.09
2024-10-08,卖出,4450.37,-6,20920.13,13.23,71.83%,0.40,1.34
2024-11-01,买入,3882.46,5,19412.30,11.72,49.13%,0.60,0.97
2024-11-06,卖出,4051.29,-5,18051.84,12.00,61.98%,0.40,1.01
2024-11-18,买入,3982.10,5,19910.50,11.89,56.51%,0.60,1.00
2024-12-09,卖出,3970.66,-4,14906.14,12.00,60.32%,0.40,0.79
2024-12-11,卖出,3988.02,-1,3726.53,12.03,61.67%,0.40,0.20
2024-12-16,买入,3930.78,5,19653.90,11.97,57.54%,0.60,0.98
2024-12-19,卖出,3911.89,-4,15161.44,12.03,61.27%,0.40,0.78
2024-12-23,买入,3928.15,4,15712.60,12.07,59.37%,0.60,0.79
2024-12-24,卖出,3934.94,-4,15299.23,12.23,61.67%,0.40,0.79
2024-12-27,卖出,3987.02,-1,3824.81,12.25,64.92%,0.40,0.20
2025-01-03,买入,3825.24,5,19126.20,11.73,55.63%,0.60,0.96
2025-01-06,买入,3775.99,1,3775.99,11.70,52.22%,0.60,0.19
2025-02-17,卖出,3954.41,-5,19110.32,12.04,60.24%,0.40,0.99
2025-02-19,买入,3906.22,4,15624.88,12.02,59.44%,0.60,0.78
2025-02-20,卖出,3934.65,-4,15372.41,11.99,60.08%,0.40,0.79
2025-02-21,买入,3938.05,4,15752.20,12.09,59.29%,0.60,0.79
2025-02-24,卖出,3972.48,-4,15467.36,12.03,61.83%,0.40,0.79
2025-02-26,买入,3931.84,4,15727.36,11.96,56.51%,0.60,0.79
2025-03-17,卖出,4020.64,-4,15532.36,12.11,62.30%,0.40,0.80
2025-03-24,买入,3916.11,4,15664.44,11.92,56.83%,0.60,0.78
2025-04-08,买入,3597.99,7,25185.93,11.29,25.00%,0.80,1.26
2025-04-11,卖出,3730.31,-5,19010.31,11.46,40.40%,0.60,0.93
2025-05-15,卖出,3934.03,-6,22812.38,11.90,60.63%,0.40,1.18
2025-05-16,买入,3898.67,5,19493.35,11.83,58.81%,0.60,0.97
2025-06-12,卖出,3885.52,-5,19152.38,12.04,62.78%,0.40,0.97
2025-08-14,卖出,4179.97,-1,3830.48,12.63,70.87%,0.40,0.21
2025-10-10,卖出,4679.50,-5,19152.38,13.36,80.63%,0.20,1.17
2025-10-13,买入,4490.87,4,17963.48,13.30,79.37%,0.40,0.90
2025-10-17,卖出,4610.70,-4,16378.54,13.27,80.87%,0.20,0.92
2025-10-20,买入,4558.24,4,18232.96,13.33,78.33%,0.40,0.91
2025-10-22,卖出,4576.03,-4,17120.31,13.47,80.95%,0.20,0.92
2025-11-03,买入,4636.73,4,18546.92,13.28,76.67%,0.40,0.93
2025-11-07,卖出,4673.76,-4,17690.95,13.35,80.32%,0.20,0.93
2025-11-10,买入,4688.12,4,18752.48,13.41,79.76%,0.40,0.94
2025-11-11,卖出,4706.34,-4,18115.56,13.33,80.63%,0.20,0.94
2025-11-12,买入,4643.56,4,18574.24,13.38,79.44%,0.40,0.93
2025-11-13,卖出,4643.79,-4,18299.03,13.46,80.40%,0.20,0.93
2025-11-17,买入,4616.81,4,18467.24,13.20,79.13%,0.40,0.92
